kanji,english,explanation,primitive
童,juvenile,"This frame shows up the image of a **juvenile** hacker _standing_ on top of a _computer_ , or rather jumping up and down on it, because it refused to come up with the right answer.",
瞳,pupil,"Begin with the double meaning of the key word **pupil** : ""student"" and the ""the apple of one's _eye_. "" Now all you have to do is dwell on the phrase "" _juvenile_ of one's _eye_ "" (the meaning here) until it provides you with an image.",
鐘,bell,"This **bell** is made of cheap _metal_ , and so badly made that when you ring it, it lets out a noise like the "" **bell** owing"" of _juveniles_ who aren't getting their own way.",
商,make a deal,"See the peddlar _standing_ atop his _motorcycle helmet_ as if it were a soapbox, hawking his wares to passersby. The _legs_ and _mouth_ represent the tools of the trade of **making a deal** any way you can.",
嫡,legitimate wife,"The phrase **legitimate wife** would have no meaning if there were not such things as  ""illegitimate wives,"" taken because one's legal _woman_ has turned into an _antique_. The very offense of the idea should help you remember the kanji.",
適,suitable,Can you imagine anything less **suitable** to do with one's precious _antiques_ than to display them in the middle of a crowded _road-way_?,
滴,drip,"Picture _water_ **dripping** on what you thought were precious _antiques_ , only to find that the artificial aging painted on them is running!",
敵,enemy,"Picture your most precious _antique_ (it doesn't matter how old it really is, so long as it is the oldest thing YOU own) being knocked over by your most unlikeable _taskmaster_ , and you have a good picture of how people make themselves **enemies** for life.",
匕,spoon,"This character, a pictograph of a **spoon** , is easy enough to remember, provided you keep it distinct from that for _seven_ , where the first stroke is written left to right (the opposite of here) and cuts noticeably across the second.","* As a primitive, this kanji can take on the additional meaning of someone _sitting on the ground_ , of which it can also be considered a pictograph. In general, the second stroke does not cut through the first - or if it does in some fonts, only slightly."
叱,scold,"Recall some particularly harsh **scolding**  you got as a child in school. This character has you _sitting on the ground_  in the corner as your teacher stands over you, her _mouth_  wide open as she reprimands you in front of the entire class.",
匂,aroma,"You will have to imagine ""capturing"" a favorite **aroma** by having it gagged and _bound up_  in a _spoon_.",
頃,about that time,"When Uncle Bob starts his comic routine of sticking _spoons_ on his _head_ , you know it is **about that time**  to come up with a reason to excuse yourself.",
北,north,"The cold air from the **north** is so strong that we see _two people sitting on the ground_ back to back, their arms interlocked so they don't blow away. (Pay special attention to the drawing of the first 3 strokes.)",
背,stature,"One's **stature** is measured according to the  "" _northern_ -most"" _part of the body_.",
比,compare,"With _two spoons_ , one in each hand, you are **comparing** your mother's cooking with your mother-in-law's.",
昆,descendants,"By _comparing_ apes with anthropoids, we not only discover the latter have **descended** from those progenitors educated in the higher branches, but that the very idea of seeing everything **descended** from everything else, one way or another, means that there is  ""nothing new UNDER the _sun_. """,
皆,all,"Think of the housewives in TV commercials "" _comparing_ the _whiteness_ "" of their laundry across the fence, a typical advertisement for the popular detergent known as **All**. (If you don't know the brand, surely you've heard the phrases  "" **all** -purpose detergent"" or "" **all** -temperature detergent."")",
楷,block letters,"The key word refers to kanji that are written in full, squared form, as opposed to cursive writing which is more flowing andabbreviates some of the strokes. Here **block letters** are pictured as tidy rows of _trees_ that are _all_ the same size and can be read easily by _all_ , whatever calligraphic skills they possess.",
諧,orderliness,"The harmoney of ""a place for everything and everything in its place"" is applied here to the **orderliness** of _all_ the _words_ one speaks.",
混,mix,"**Mixed** marriages, this character suggests, _water_ down the quality of one's _descendants_  \- the oldest racial nonsense in the world!",
渇,thirst,"As you pass by the muchacho taking the _siesta_ , he cries out that he is **thirsty** and asks for something to drink. So you turn the _water_ hose on him.",
謁,audience,"Imagine an **audience** with the emperor or the pope in which all those in attendance are sitting down, leaning against the wall, sleeping like our muchacho on _siesta_ as the honorable host delivers his _speech_.",
褐,brown,"The color of the serape or _cloak_ of our muchacho on _siesta_ is a dull **brown** , the color this kanji indicates.",
喝,hoarse,"When the muchacho on _siesta_ looks up at you and opens his _mouth_ to talk, his voice is so **hoarse** that you cannot understand him.",
葛,kudzu,"**Kudzu**  is a word taken over from Japanese to name the crawling vines that creep up and completely take over trees. Seeing it at its worst in the Georgia countryside makes it easy to understand why it has a reputation as the ""plague of the South."" From there it should not be hard to arrange the primitives, _flowers_  and _siesta_  into a memorable image.",
旨,delicious,Something is so downright **delicious** that one spends the entire _day_ with a _spoon_ in hand gobbling it up.,
脂,fat,"This kanji tells us that if you feed the _flesh_ with too many _delicious_ things, it soon picks up a thick layer of **fat**.",
詣,visit a shrine,"Here you ""savor your _words_ "" as something _delicious_  when you describe your recent **visit to a shrine**  or pilgrimage site.",
壱,I (one),"The Roman numeral I - like that for II we met earlier in frame 379 - is only rarely used now. In the midst of all the _samurai_ , we notice one in particular _sitting on the ground_ with a _crown_ on his head, indicating that he is  ""number I"" in the current rankings.",
毎,every,"Behind **every** successful person _lies_ a woman...,  who usually turns out to be one's _mama_!",
敏,cleverness,"Behind _every_ successful _taskmaster_ , the **cleverness** of a fox to outwit his charges.",
梅,plum,"Behind _every_ Jack Horner's pie maker, a _tree_ full of **plums**.",
海,sea,"Behind _every drop of water_ , a **sea** from which it originated.",
乞,beg,"See someone _lying down_ in a public place with a _hook_ in place of a hand, **begging** a morsel of rice or a few pence.",
乾,drought,In times of **drought** anything at all will do. Here we see the victims _begging_ for just a little _mist_ for relief.,
腹,abdomen,"If you _double back_ (fold over) most animals - or people, for that matter - in the middle, the _part of the body_ where the crease comes is the **abdomen**.",
複,duplicate,"In its original and etymologically transparent sense, to **duplicate** something means to _double_ it _back_ with a fold, like the fold of a _cloak_.",
欠,lack,"The pictograph hidden in this character is of someone yawning. The first stroke shows the head thrown back, the second, the arm bent at the elbow as the hand reaches up to cover the mouth, and the last two, the legs. Since yawning shows a **lack** of something (psychologically, interest, physiologically, sleep), the connection is plain to see.","* As a primitive, it can mean either _yawn_ or _lack_."
吹,blow,To **blow** is really no more than a deliberate effort to make one's _mouth lack_ all the air that is in it.,
炊,cook,"Better to picture what happens when you do not pay attention to your work in the kitchen. Here we see a blazing _fire_ and an inattentive, _yawning_ **cook** who let things get out of control.",
歌,song,"The **song** in this kanji is being sung by a chorus line of _can-can_ girls. Why it should be eliciting nothing but _yawning_ from the audience, I leave to you to decide.",
軟,soft,"If the cushions of one's _car_ are too **soft** , one may begin _yawning_ at the wheel.",
次,next,"This key word connotes the "" **next** in line "" of a succession of people or things. Let there be a _lack_ of _ice_ on the hottest day of summer, and you stand impatiently in line waiting for the distributor to call out  "" **Next**! ""","* As a primitive, this character can either retain its key word meaning of _next_ or the related meaning of _second_."
茨,briar,"Earlier we made mention of the story of **Briar** Rose (or  ""Sleeping Beauty,"" as we called her in frame 165) and drew attention to the **briar** hedge that grew up all about her castle. But in the _second_ part of the story, these **briars** blossomed into _flowers_. Hence her name, **Briar** Rose. Be careful not to confuse this character with that for _thorn_ (Frame 446).",
資,assets,"The first _shells_ (money) you earn, you use to pay your debts. From then on, the _next shells_ you accumulate become your **assets**.",
姿,figure,This kanji depicts a _woman's_ **figure** as a sort of _second_ self.,
諮,consult with,To seek the _words_ of a _second mouth_ is to **consult with** someone about something.,
賠,compensation,Picture a _clam_ used as a _muzzle_ to quiet the complaints of a fisherman's widow asking **compensation** for her husband lost at sea.,
培,cultivate,The barrel hoops used by many Japanese farmers to stretch clear plastic over row of vegetables in a garden patch in the hopes of **cultivating** bigger and bigger vegetables is a way of _muzzling_ the _soil_.,
剖,divide,"To "" **divide** and conquer "" you use a _saber_ and a _muzzle_.",
音,sound,"The kanji for **sound** depicts something _standing_ in the air over a _tongue wagging in a mouth_ , much the same as a **sound** does for the briefest of moments before disappearing.",* The primitive from this kanji also means simply a sound.
暗,darkness,"When "" **darkness** covered the earth "" at the beginning of time, there was neither _sun_ nor _sound_.",
韻,rhyme,"Poetry restricted to verses that **rhyme** often finds it has to abandon clarity of thought in order to make the **rhyme** of the words work. In this kanji's picture, one becomes a kind of  "" _sound-employee_. """,
識,discriminating,A person of **discriminating** intellect can tell the difference between mere _kazoo_ -buzzing and _words_ spoken wisely.,
鏡,mirror,"After lakes but before glass, polished _metal_ was used for **mirrors**. These _metal mirrors_ are recalled in this character for a **mirror**.",
境,boundary,Imagine the **boundary** of a plot of _land_ marked with gigantic _mirrors_ enabling the landowner to keep trespassers in sight at all times.,
亡,deceased,"A _top hat_ hanging on a _hook_ in the front hall, right where the **deceased** left it the day he died, reminds us of him and his kanji.","* In addition to _deceased_ , the primitive meaning of _to perish_ will also be used for this character."
盲,blind,"If one's _eyes perish_ before death, one remains **blind** for the rest of life.",
妄,delusion,"The ""ideal _woman_ "" one daydreams about is no more than a **delusion**. Hence, _perish_ the thought of her.",
荒,laid waste,The _flowers_ that _perish_ in the _flood_ are taken here as symbols of an area that has been **laid waste**.,
望,ambition,"The story of **ambition** talks of a _king_ walking under the _perishing_  (or ""waning"") _moon_ dreaming great dreams about his kingdom. (The roots of **ambition** are from the same word as  ""ambulate,"" meaning to walk about.)",
方,direction,Spinning a _dagger_ about on its hilt on the top of a _top hat_  \- waiting to see in which **direction** it points when it comes to rest - one leaves to fate where one is going next. Take care in writing this character.,"* As a primitive, this character will take the sense of a _compass_ , the instrument used to determine _direction_."
妨,disturb,"Imagine a _compass_ that is **disturbed** every time a _woman_ passes by, sending the needle spinning madly round and round.",
坊,boy,"The character for a **boy** shows us a **Boy** Scout cleaning the _dirt_ out of his _compass_  \- the more _dirt_ , the better.",
芳,perfumed,Here we see a special _compass_ used to pick out those _flowers_ most suited for making good **perfumes**.,
肪,obese,"If you eat too much, you may need a _compass_ to find your way around the **obese** mass of _flesh_ that piles up in the midsection. Compare this with your stories for _round_ (Frame 44) and _fat_ (Frame 494), similar in meaning but distinct in imagery.",
訪,call on,"When making a courtesy **call on** a dignitary, one has to gauge one's _words_ with great care. Hence the need for a _compass_.",
放,set free,"The _taskmaster_ **sets** an unruly servant **free** , giving him no more than a quick glance at the _compass_ and a boot from behind.",
激,violent,"Some cosmic _taskmaster_ hovering overhead whips up the waves to make them dash **violently** against the shore. In the _white_ foam that covers the _water_ we see a broken _compass_ floating, all that remains of a shipwreck.",
脱,undress,"To **undress** is to expose the _flesh_ and tempt the _devil_ in the eyes of one's onlookers. Ignore the moral if you want, but not the _devil_.",
説,explanation,"Not inappropriately, this character likens an  **explanation** to the _devil's_ own _words_.",
鋭,pointed,"_Metal_ that has been **pointed** (as an awl, a pick, a nail, or a knife) tends to serve the _devil's_ purposes as well as civilization's: our tools are also our weapons.",
曽,formerly,"This primitive (named for its associations with the kanji of the following frame) is composed of a pair of _horns_ growing out of a _brain_ with a _tongue wagging in the mouth_ beneath. Think of  "" **former** "" in connection with administrators or heads of state who have just left office but continue to make a nuisance of themselves by advertising their opinions on public policy.","* The primitive meaning, _increase_ , comes from the next frame. Always think of something multiplying wildly as you watch."
増,increase,"This kanji depicts an **increase** of _soil_ , multiplying so fast that it literally buries everything in its path.",
贈,presents,"The **presents** offered here are _money_ that _increases_ each time you give it away. Do not confuse with the temporal word  ""present"" (Frame 275).",
東,east,"As a ""Western"" language, English identifies the **east** with the rising _sun_. In more fanciful terms, we see the _sun_ piercing through a _tree_ as it rises in the **east**.","* Both the direction _east_ and the part of the world called  ""the _East_ "" are primitive meanings of this character."
棟,ridgepole,"If the piece of _wood_ in the roof known as the **ridgepole** points _east_ , the sunrise will be visible from the front door.",
凍,frozen,"The whole secret to breaking the _ice_ with the _East_ is to peek behind those mysteriously  "" **frozen** smiles. """,
妊,pregnancy,"A _woman_ who is in her **pregnancy** is a bit like a _porter_ , bearing her new companion wherever she goes.",
廷,courts,"Those who rule the **courts** , the _porters_ of justice and order, are often found to _stretch_ the law to suit their own purposes. Recall the kanji for _prolong_ from frame 419 and keep it distinct.",
染,dye,"_Water_ . . . _nine_ . . . _tree_. From those elements you must compose a plot for the key word, **dye**. Here, as elsewhere, any of the alternate meanings of the primitives may be used, provided they do not require a position other than that of the kanji in question.",
燃,burn,"_Hearth_ . . . _sort of thing_. Beware of letting the simple reading off of the primitive elements do your work for you. Unless you make a vivid image of something **burning** and relate it just as vividly to those primitive meanings, you can count on forgetting this character very quickly.",
賓,V.I.P.,The **V.I.P.** indicated here is an important guest making a visit. The elements are: _house_ . . . _ceiling_ . . . _few_ . . . _shells_.,
歳,year-end,_Stop_ . . . _march_ . . . _little_. Be sure not to forget that final dot in the element for _march_.,
県,prefecture,"Above, an _eye_ and a _fishhook_ , and below the primitive for _little_. Although apparently the simplest of these first six kanji, when you begin to work on its plot and story you will soon find out that the number of strokes and visual complexity of a kanji does not make it easier or harder to remember. It is the primitives you have to work that are the critical factor, as in this case where the meaning of the key word is so seemingly distant from the elements. Remember, you can always break larger elements down ( _eye of a needle_ into _eye_ and _fishhook_ ) if you think it helps.",
栃,horse chestnut,A tree . . . cliff . . . ten thousand.,
地,ground,"_Soil_ and a _scorpion_ (an  ""earth animal""). This is, of course, the full character from which the primitive for **ground** derives.",
池,pond,"_Water_ . . . _scorpion_. It would be easy to slip into a  ""lazy image"" in cases like this one, picturing, let us say, a _scorpion_ near the _water_. But if you picture rather a _scorpion_ letting its venom out _drop by drop_ until it has made a whole **pond** of the stuff, the image is more likely to remain fixed.",
虫,insect,Work with the pictograph as you wish.,"* As a primitive, this insect will refer to the whole _insect_ kingdom, it can be further specified for each kanji that contains it."
蛍,lightning bug,Schoolhouse . . . insect.,
蛇,snake,Insect . . . house . . . spoon.,
虹,rainbow,Insect . . . craft.,
蝶,butterfly,Insect . . . generation . . . tree.,
独,single,Think of this key word in connection with bachelorhood. The elements: _wild dogs_ . . . _insect_.,
蚕,silkworm,_Heavens_ . . . _insect_. Be sure to do something about the position of the two elements.,
風,wind,"_Windy_ . . . _drops of_ . . . _insects_. Hint: think of the last two primitives as representing a swarm of _gnats_ , those tiny _drops of_ pesky _insects_.",
己,self,"The kanji carries the abstract sense of the **self** , the deep-down inner structure of the human person that mythology has often depicted as a _snake_ \- which is what the kanji shows pictographically. Be sure to keep it distinct from the similar keywords, _oneself_ (frame 36) and _I_ (frame 17).","* As a primitive element, this kanji can be used for the _snake_  \- of which it is a pictograph - or any of the various concrete symbolic meanings the _snake_ has in myth and fable."
起,rouse,Run . . . snake.,
妃,queen,Woman . . . snake.,
改,reformation,"Pluralizing the _snake_ and focusing on a single _taskmaster_ may help recommend the image of Ireland's most famous **reformer** , St. Patrick, who, legend has it, drove away the _snakes_ from the land.",
記,scribe,Words . . . snake.,
包,wrap,Bind up . . . snake.,"* The primitive meaning of _wrap_ should always be used with the _snake_ in mind to avoid confusion with similar terms. Just let  "" _wrap_ "" mean ""with a snake coiled about it."""
胞,placenta,Part of the body . . . wrap.,
砲,cannon,Stones . . . wrap.,
泡,bubble,Water . . . wrap.,
亀,tortoise,"This is not a _turtle_ (See frame 250) but a **tortoise** , however you wish to picture the difference. Let the "" _bound up_ "" at the to prefer to the head, and the two _suns_ , with a long tail running through it, to the shell.","* As a primitive, this kanji is abbreviated to its bottom half, ⻲, and comes to mean _eel_. (If it is any help, this kanji in its full form can also be remembered through its abbreviation's primitive meaning.)"
電,electricity,Rain/weather . . . eel.,
竜,dragon,"_Vase_ . . . _eel_. In order not to confuse this kanji with the zodiacal _sign of the dragon_ , which we will meet later (Frame 2164) and use as a primitive, you might think here of a paper parade **dragon**.",
滝,waterfall,"_Water_ . . . _vase_ . . . _eels_. To avoid the confusion mentioned in the previous frame, the character learned there for _dragon_ should not be used as a primitive.",
豚,pork,Flesh . . . sow.,
逐,pursue,Sows . . . road.,
遂,consummate,The _horns_ atop the _sow_ suggest a boar at work in the background. Add the element for a _road_. Now create a story whose meaning is: **consummate**.,
家,house,"This is the full character whose primitive form we learned already. To help a little, this kanji recalls the times when the ""domestic"" animals were, as the word itself suggests, really kept in the **house**. Hence: _house_ . . . _sow_.",
嫁,marry into,"The kanji in this frame demonstrates the traditional Japanese approach to marriage: it is the _woman_ who leaves her family for another _house_ hold, thus **marrying into** a man's family.",
豪,overpowering,Tall . . . crowned . . . sow.,
腸,intestines,Flesh . . . piggy bank.,
場,location,Soil . . . piggy bank.,
湯,hot water,Water . . . piggy bank.,
羊,sheep,"This pictograph shows the animal _horns_ at the top attached to the head (3rd stroke), the front and back legs (strokes 4 and 5) and body (final stroke).","* The primitive meaning of _sheep_ can add the further connotations given in the following frame. As we saw with the _cow_ , the ""tail"" is cut off when it is set immediately over another element: ⺷. Note the change in stroke order, as exemplified in the following frame."
美,beauty,Try to think of what the Chinese were on to when they associated the idea of **beauty** with a _large sheep_.,
洋,ocean,_Water_ . . . _sheep_. Be sure to keep the stories and key word of this kanji distinct from those for _sea_. (Frame 500).,
詳,detailed,Words/speaking . . . sheep.,
鮮,fresh,Fish . . . sheep.,
達,accomplished,"The key word is meant to connote someone ""skilled"" at something. On the _road_ we find _soil_ OVER _a sheep_. You may have to work with this one a while longer.",
羨,envious,"_Sheep_ . . . _water_ . . . _yawn/lack_. Although this character looks rather simple, special care should be taken in learning it because of the proximity of the final two elements to the character for _next_ , which we learned in frame 510. Note, too, that the _water_ comes UNDER the _sheep_ , rather than on its own to the left.",
差,distinction,Wool . . . craft.,
着,don,"I cannot resist doing this one for you, since it clearly describes **donning** (putting on) one's clothes as  ""pulling the _wool_ over one's _eyes_. """,
唯,solely,Mouth . . . turkey.,
堆,piled high,Soil . . . turkey.,
椎,sweet oak,Tree . . . turkey.,
誰,who,Words . . . turkey.,
焦,char,Turkey . . . oven fire.,
礁,reef,Rocks . . . char.,
集,gather,_Turkeys_ . . . atop a _tree_.,
准,quasi-,Ice . . . turkey.,
進,advance,Turkey . . . road.,
雑,miscellaneous,Baseball . . . trees . . . turkey.,
雌,female,"This character for **female** forms a pair with that for _male_ , which we will learn later (Frame 804). The elements: _footprint_ . . . _spoon_ . . . _turkey_.",
準,semi-,Think of this in terms of the **semi** finals of some sports competition. _Water_ . . . _turkeys_ . . . _needle_.,
奮,stirred up,St. Bernard dog . . . turkey . . . rice field/brains.,
奪,rob,"Whereas _burglary_ (Frame 381) implies clandestine appropriation of another's property, **robbery** refers to taking by force. The primitive elements: _St. Bernard dog_ . . . _turkey_ . . . _glue_.",
確,assurance,"On the left you see the _rock_ , which is familiar enough. But pay attention to the right. Taking careful note of the unusual stroke order that has the ""chimney"" on the _house_ doubled up with the first stroke of the _turkey_ , we may see the right side as a _turkey house_ (or  "" _coop_ ""). We shall see this pattern only on one other occasion (Frame 2093), but even for these two characters it is well worth the trouble to single it out as a primitive.",
午,noon,"With a bit of stretching, you might see a horse's head pointing leftwards in this character. That gives the primary meaning of the Chinese zodiacal sign of the horse, which corresponds to the hour of **noon**. Note how this kanji primitive differs from that for _cow_ (Frame 260).","* As a primitive, this character gets the meaning of a _horse_. Any _horse_ image will do, except that of a _team of horses_ , which will come later (Frame 2132) and get its own primitive."
許,permit,Words . . . horse.,
歓,delight,"Again I cannot resist sharing my own associations. If you've ever seen Disney's animated interpretation of classical music, ""Fantasia,"" you will recall what was done there with Beethoven's ""Pastoral Symphony"" (the 6th), and the _flying horses_ that figured in it. The mares are bathing in the stream and the stallions begin to gather. As dusk sets in, the _flying horses_ all start _yawning_ and pair off for the night: a perfectly **delightful** portrait of **delight**.",
権,authority,Tree . . . Pegasus.,
観,outlook,Pegasus . . . see.,
羽,feathers,"From the pictograph of two bird-wings, we get **feathers**.","* The related image of _wings_ can be added as a primitive meaning. It can also take the form  ョョ when used as a primitive, as we shall see in frames 618 and 619."
習,learn,Feathers . . . white bird.,
翌,the following,_Feathers_ . . . _vase_. Be sure to contrast the connotation of this keyword with that for _next_ (Frame 510).,
曜,weekday,Day . . . feathers . . . turkey.,
濯,laundry,Water . . . feathers . . . turkey,
曰,sayeth,"_Pent in_ . . . _one_. The key word refers to famous sayings of famous people, and is the origin for the primitive meaning of _a tongue wagging in the mouth_ that we learned in frame 12. The size of this kanji, a relatively rare one, is what distinguishes it from _day_.",
困,quandary,Pent in . . . trees.,
固,harden,_Old_ . . . _pent in_. Leave the people out of your story to avoid complications later when we add the element for person to form a new kanji (Frame 1047).,
錮,weld,Metal . . . harden.,
国,country,Jewels . . . pent in.,
団,group,Glued . . . pent in.,
因,cause,St. Bernard dog . . . pent in.,
姻,matrimony,"_Woman_ . . . _cause_. Think here of the  ""state of **matrimony** "" and you will not confuse it with other characters involving marriage, one of which we have already met (Frame 581).",
咽,windpipe,Mouth . . . cause.,
園,park,Pent in . . . lidded crock . . . scarf.,
回,-times,"The suffix "" **-times** "" refers to a number of repetitions. Its elements: _a mouth_  . . . _pent in_. Hint: you may find it more helpful to forget the primitives and think of one circle revovling inside of another.",
壇,podium,"_Soil/ground_ . . . _top hat_ . . . _-times_ . . . _nightbreak_. With kanji as difficult as this one, it generally pays to toy with the various connotations of its primitives before settling on one image. Aim for as much simplicity as you can.",
店,store,Cave . . . fortune-telling.,
庫,warehouse,Cave . . . car.,
庭,courtyard,Cave . . . courts.,
庁,government office,Cave . . . a spike.,
床,bed,Cave . . . tree.,
麻,hemp,"_Cave_ . . . _grove_. If it helps, this is the **hemp** marijuana comes from.",
磨,grind,Hemp . . . stone.,
心,heart,"This character, a pictographic representation of the **heart** , is among the most widely used primitives we shall meet.","* As a primitive, it can take three forms, to which we shall assign three distinct meanings. In its kanji-form, it appears BENEATH or to the RIGHT of its relative primitive and means th physical organ of the _heart_.   To the LEFT, it is abbreviated to three strokes, ⺖, and means a wildly emotional _state of mind_. And finally, at the very BOTTOM, it can take the form ⺗, in which case we give it the meaning of a _valentine_."
忘,forget,Perish . . . heart.,
恣,selfish,Second . . . heart.,
忍,endure,Blade . . . heart. **Endure** here means long-suffering patience.,
認,acknowledge,Words . . . endure.,
忌,mourning,Snake . . . heart.,
志,intention,Samurai . . . heart.,
誌,document,Words . . . intention.,
芯,wick,Flowers . . . heart.,
忠,loyalty,_In_ the middle of a . . . _heart_.,
串,shish kebab,"This pictograph of two pieces of meat on a skewer, a **shish kebab** , will help us in the next frame.",
患,afflicted,Shish kebab . . . heart.,
思,think,Brains . . . heart.,
恩,grace,"Take **grace** in its sense of a favor freely bestowed, not in its meaning of charming manners or fluid movement. The primitives: _cause_ . . . _heart_.",
応,apply,"_Cave_ . . . _heart_. The sense of the key word here is of something appropriate that fills a particular need, and hence  "" **applies**. """,
意,idea,Sound . . . heart.,
臆,cowardice,Flesh . . . idea.,
想,concept,"To distinguish this kanji from that of the previous frame, focus on the sense of the ""con-"" in the word "" **concept**. "" Its elements are: _inter-_ . . . _heart_.",
息,breath,Nose . . . heart.,
憩,recess,"_Tongue_ . . . _nose_ . . . _heart_. The sense of _breath_ from the last frame should not be used, it could lead you to put only the _nose_ over the _heart_ and leave the _tongue_ off to one side.",
恵,favor,_Ten_ . . . _fields_ (or: _needle_ . . . _brains_ ) . . . _heart._,
恐,fear,Craft . . . mediocre . . . heart.,
惑,beguile,"The first three elements, _fiesta_ . . . _mouth_ . . . _floor_ , appeared together once already in frame 380. Beneath them, once again, the _heart_.",
感,emotion,Mouths . . . marching . . . heart.,
憂,melancholy,"_Head_ . . . _crown_ . . . _heart_ . . . _walking legs_. Two things merit mention here. First, the doubling-up of the last stroke of _head_ with the top of the _crown_ serves to make the whole more aesthetically beautiful. It happens so rarely that the exceptions are easily learned. Second, try to make a single image out of the four elements. (Religious statuary of **melancholy** figures should offer plenty of suggestions.)",
寡,widow,"_House_ . . . _head_ . . . _dagger_. Immediately we get another instance of a very odd exception. Notice how the final stroke of the head is lengthened, giving the final two strokes a chance to stretch out and make room for the _dagger_ that fits in beneath.",
忙,busy,State of mind . . . perish.,
悦,ecstasy,State of mind . . . devil.,
恒,constancy,State of mind . . . span.,
悼,lament,"To keep this character distinct from others of similar connotation, one need only think of the Prophet Jeremiah whose poetry gave an _eminence_ to _the state of mind_ we call **lamentation**.",
悟,enlightenment,"I know of an Indian religious sect which teaches that **enlightenment** is to be had by covering the eyes with one's index fingers, the ears with the thumbs, and the mouth with the little fingers. While these differ a bit from the _five holes_ that we used to represent the  "" _I_ "" (frame 17), the idea of achieving a special _state of mind_ by covering those five places can help you learn this kanji. You might try the position out while you are learning this character.",
怖,dreadful,State of mind . . . linen.,
慌,disconcerted,State of mind . . . laid waste.,
悔,repent,_State of mind_ . . . _every_ (See frame 497).,
憎,hate,State of mind . . . increase.,
慣,accustomed,State of mind . . . pierce.,
愉,pleasure,_State of mind_ . . . _butchers_ (See frame 307).,
惰,lazy,"_State of mind_ . . . _left_ (i.e.  ""sinister"") . . . _flesh_.",
慎,humility,State of mind . . . truth.,
憾,remorse,"_State of mind_ . . . _emotion_. Hint: the etymology of  "" **remorse** "" indicates a memory that returns again and again to ""bite at"" one's conscience and disturb one's peace of mind.",
憶,recollection,State of mind . . . idea.,
惧,disquieting,State of mind . . . tool.,
憧,yearn,Think of the _state of mind_  you were in as a child with a particularly _juvenile_   **yearning**.,
憬,hanker,State of mind . . . scenery.,
慕,pining,_Graveyard_ . . . _valentine_. Note carefully the stroke order of the _valentine_ primitive.,
添,annexed,Water . . . heavens . . . valentine.,
必,invariably,"First note the stroke order of this character, which did not really evolve from the _heart_ , even though we take it that way. If one takes it as a pictograph ""dividing"" _the heart_ in half, then one has one of those **invariably** true bits of human anatomy: the fact that each _heart_ is divided into two halves.",
泌,ooze,_Water_ . . . the _invariably_ divided heart.,
手,hand,"Any way you count them, there are either too many or too few fingers to see a good pictograph of a **hand** in this character. But that it is, and so you must.",* Keep to the etymology when using this kanji as a primitive: a single _hand_ all by itself.
看,watch over,Hand . . . eyes.,
摩,chafe,Hemp . . . hand.,
我,ego,"_Hand_ . . . _fiesta_. Note how the second stroke of the _hand_ is stretched across to double up as the first stroke of the tasseled arrow we use for _fiesta_. Compare to frames 17, 36, and 564.",
義,righteousness,Sheep . . . ego.,
議,deliberation,Words . . . righteousness.,
犠,sacrifice,"_Cow_ . . . _righteousness_. Do NOT use the image of an animal **sacrifice** here, as that will have it own character later on.",
抹,rub,Fingers . . . extremity.,
拭,wipe,Fingers . . . style.,
拉,yank,"The sense of this key word is to pull or jerk, as in opening a door or making ""ramen"" noodles. Its elements: _fingers_ . . . _vase_.",
抱,embrace,Fingers . . . wrap.,
搭,board,The key word refers to **boarding** vessels for travel. Its elements are: _finger_ . . . _flowers_ . . . _fit together_ (See frame 270).,
抄,extract,Fingers . . . a few.,
抗,confront,Fingers . . . a whirlwind.,
批,criticism,Finger . . . compare.,
招,beckon,Finger . . . seduce.,
拓,clear the land,Fingers . . . rocks.,
拍,clap,Fingers . . . white.,
打,strike,Finger . . . spike.,
拘,arrest,Fingers . . . phrase.,
捨,discard,Fingers . . . cottage.,
拐,kidnap,Finger . . . mouth . . . dagger.,
摘,pinch,Finger . . . antique.,
挑,challenge,Fingers . . . portent.,
指,finger,Finger . . . delicious.,
持,hold,Fingers . . . Buddhist temple.,
拶,imminent,Fingers . . . flood . . . evening.,
括,fasten,Finger . . . tongue.,
揮,brandish,Finger . . . chariot.,
推,conjecture,Fingers . . . turkey.,
揚,hoist,Fingers . . . piggy bank.,
提,propose,Fingers . . . just so.,
損,damage,Finger . . . employee.,
拾,pick up,_Fingers_ . . . _fit together_. Compare frame 698.,
担,shouldering,The key word of this frame refers to **shouldering** a burden of some sort. Its elements are: _fingers_ . . . _nightbreak_.,
拠,foothold,Fingers . . . dispose.,
描,sketch,Fingers . . . seedling.,
操,maneuver,Fingers . . . goods . . . tree.,
接,touch,Fingers . . . vase . . . woman.,
掲,put up a notice,Fingers . . . siesta.,
掛,hang,Fingers . . . ivy . . . magic wand.,
捗,make headway,Let your _fingers_  do the _walking_  as you **make headway**  through the Yellow Pages in search of something hard to find.,
研,polish,Stone . . . two hands.,
戒,commandment,Two hands . . . fiesta.,
弄,tinker with,Jewel . . . two hands.,
械,contraption,Tree . . . commandment.,
鼻,nose,"Let me share a rather grotesque image to help with this kanji. Imagine taking your _two hands_ and reaching up into someone's _nostrils_. Once inside you grab hold of the _brain_ and yank it out. At the end, you would have a picture something like that of this character, the full kanji for **nose**.",
刑,punish,Two hands . . . saber.,
